[TIME],[KIND],[LANE],[JUDGE],[VECTOR]
3,g,4t11,,
3.7,g,4t11,,
4.4,g,4t11,,
5.1,h_0,4t11,TRUE,
5.8,h_0,4t11,TRUE,
6.5,h_0,0t3,TRUE,
7.2,h_0,0t3,TRUE,
7.9,h_0,7t15,TRUE,
8.6,g,4t11,,
8.6,d,4t11,,(0:0.2:0)
10,g,4t11,,
10,d,4t11,,(0:0.2:0)
11.4,g,4t11,,
11.4,d,4t11,,(0:0.2:0)
12.8,g,4t11,,
12.8,d,4t11,,(0:0.2:0)
14.2,g,4t11,,
14.2,d,4t11,,(0:0.2:0)
15.6,g,4t11,,
15.6,d,4t11,,(0:0.2:0)
17,g,4t11,,
17,d,4t11,,(0:0.2:0)
18.4,g,4t11,,
18.4,d,4t11,,(0:0.2:0)
19.8,g,4t11,,
19.8,d,4t11,,(0:0.2:0)
21.2,g,4t11,,
21.2,d,4t11,,(0:0.2:0)
22.6,g,4t11,,
22.6,d,4t11,,(0:0.2:0)
24,g,4t11,,
24,d,4t11,,(0:0.2:0)
25.4,g,4t11,,
25.4,d,4t11,,(0:0.2:0)
26.8,g,4t11,,
26.8,d,4t11,,(0:0.2:0)
28.2,g,4t11,,
28.2,d,4t11,,(0:0.2:0)
29.6,g,4t11,,
29.6,d,4t11,,(0:0.2:0)
31,g,4t11,,
31,d,4t11,,(0:0.2:0)
32.4,g,4t11,,
32.4,d,4t11,,(0:0.2:0)
33.8,g,4t11,,
33.8,d,4t11,,(0:0.2:0)
35.2,g,4t11,,
35.2,d,4t11,,(0:0.2:0)
36.6,g,4t11,,
36.6,d,4t11,,(0:0.2:0)
38,g,4t11,,
38,d,4t11,,(0:0.2:0)
39.4,g,4t11,,
39.4,d,4t11,,(0:0.2:0)
40.8,g,4t11,,
40.8,d,4t11,,(0:0.2:0)
42.2,g,4t11,,
42.2,d,4t11,,(0:0.2:0)
43.6,g,4t11,,
43.6,d,4t11,,(0:0.2:0)
45,g,4t11,,
45,d,4t11,,(0:0.2:0)
46.4,g,4t11,,
46.4,d,4t11,,(0:0.2:0)
47.8,g,4t11,,
47.8,d,4t11,,(0:0.2:0)
49.2,g,4t11,,
49.2,d,4t11,,(0:0.2:0)
50.6,g,4t11,,
50.6,d,4t11,,(0:0.2:0)
52,g,4t11,,
52,d,4t11,,(0:0.2:0)
53.4,g,4t11,,
53.4,d,4t11,,(0:0.2:0)
54.8,g,4t11,,
54.8,d,4t11,,(0:0.2:0)
56.2,g,4t11,,
56.2,d,4t11,,(0:0.2:0)
57.6,g,4t11,,
57.6,d,4t11,,(0:0.2:0)
59,g,4t11,,
59,d,4t11,,(0:0.2:0)
60.4,g,4t11,,
60.4,d,4t11,,(0:0.2:0)
61.8,g,4t11,,
61.8,d,4t11,,(0:0.2:0)
63.2,g,4t11,,
63.2,d,4t11,,(0:0.2:0)
64.6,g,4t11,,
64.6,d,4t11,,(0:0.2:0)
66,g,4t11,,
66,d,4t11,,(0:0.2:0)
67.4,g,4t11,,
67.4,d,4t11,,(0:0.2:0)
68.8,g,4t11,,
68.8,d,4t11,,(0:0.2:0)
70.2,g,4t11,,
70.2,d,4t11,,(0:0.2:0)
71.6,g,4t11,,
71.6,d,4t11,,(0:0.2:0)
73,g,4t11,,
73,d,4t11,,(0:0.2:0)
74.4,g,4t11,,
74.4,d,4t11,,(0:0.2:0)
75.8,g,4t11,,
75.8,d,4t11,,(0:0.2:0)
