[TIME],[KIND],[LANE],[JUDGE],[VECTOR]
3.552272727,h_0,6t9,TRUE,
3.665909091,h_0,6t9,TRUE,
3.779545455,h_0,6t9,TRUE,
3.893181818,h_0,6t9,TRUE,
4.006818182,h_0,6t9,TRUE,
4.120454545,h_0,6t9,TRUE,
4.290909091,h_0,6t9,TRUE,
4.290909091,d_up,6t9,TRUE,(0:0.2:0)
5.086363636,g,8t9,,
5.086363636,g,11t13,,
5.540909091,g,6t7,,
5.540909091,g,9t10,,
5.995454545,g,3t5,,
5.995454545,g,8t9,,
6.45,g,5t7,,
6.45,g,9t11,,
6.677272727,g,4t6,,
6.677272727,g,8t9,,
6.677272727,g,10t11,,
7.131818182,g,4t6,,
7.131818182,g,7t8,,
7.131818182,g,10t11,,
7.359090909,g,3t5,,
7.359090909,g,6t7,,
7.359090909,g,9t10,,
7.813636364,g,1t3,,
7.813636364,g,5t6,,
7.813636364,g,7t8,,
8.268181818,h_1,0t1,TRUE,
8.268181818,d_gro_right,0t1,,(0:0.2:0)
8.325,h_1,0t3,TRUE,
8.325,d_gro_right,0t3,,(0:0.2:0)
8.381818182,h_1,2t5,TRUE,
8.381818182,d_gro_right,2t5,,(0:0.2:0)
8.438636364,h_1,4t7,TRUE,
8.438636364,d_gro_right,4t7,,(0:0.2:0)
8.495454545,h_1,6t9,TRUE,
8.495454545,d_gro_right,6t9,,(0:0.2:0)
8.552272727,h_1,8t11,TRUE,
8.552272727,d_gro_right,8t11,,(0:0.2:0)
8.609090909,h_1,10t13,TRUE,
8.609090909,d_gro_right,10t13,,(0:0.2:0)
8.665909091,h_1,12t15,TRUE,
8.665909091,d_gro_right,12t15,,(0:0.2:0)
8.722727273,h_1,0t15,TRUE,
8.722727273,d_up,0t15,,(0:0.2:0)
9.177272727,g,8t11,,
9.631818182,g,4t7,,
10.08636364,g,5t8,,
10.08636364,d_up,5t8,,(0:0.2:0)
10.54090909,g,7t10,,
10.99545455,g,4t7,,
11.45,g,8t10,,
11.45,g,12t14,,
11.67727273,g,7t9,,
11.67727273,g,11t12,,
11.90454545,g,6t8,,
11.90454545,g,9t10,,
12.13181818,g,5t6,,
12.13181818,g,7t8,,
12.81363636,g,5t10,,
12.81363636,d_gro_left,5t10,,(0:0.2:0)
13.26818182,g,8t11,,
13.26818182,d_up,9t11,,(0:0.2:0)
13.72272727,g,4t7,,
13.72272727,d_up,4t6,,(0:0.2:0)
14.17727273,g,8t11,,
14.17727273,d_up,9t11,,(0:0.2:0)
14.63181818,g,4t7,,
14.63181818,d_up,4t6,,(0:0.2:0)
15.08636364,h_2,10t13,TRUE,
15.09772727,h_2,9t12,FALSE,
15.2,h_2,9t12,TRUE,
15.31363636,h_2,9t12,TRUE,
15.325,h_2,6t9,FALSE,
15.42727273,h_2,6t9,TRUE,
15.54090909,h_2,6t9,TRUE,
15.55227273,h_2,7t10,FALSE,
15.65454545,h_2,7t10,TRUE,
15.66590909,h_2,4t7,FALSE,
15.76818182,h_2,4t7,TRUE,
15.88181818,h_2,4t7,TRUE,
15.89318182,h_2,6t9,FALSE,
15.99545455,h_2,6t9,TRUE,
16.10909091,h_2,5t10,TRUE,
16.22272727,h_2,4t11,TRUE,
16.33636364,h_2,3t12,TRUE,
16.45,h_2,2t13,TRUE,
16.45,d_up,2t7,,(0:0.2:0)
16.45,d_up,8t13,,(0:0.2:0)
16.90454545,g,8t11,,
17.35909091,g,4t7,,
17.81363636,g,5t8,,
18.26818182,g,7t10,,
18.72272727,g,8t11,,
18.72272727,d_gro_left,8t11,,(0:0.2:0)
18.95,g,5t8,,
18.95,d_gro_left,5t8,,(0:0.2:0)
19.17727273,g,2t5,,
19.17727273,d_gro_left,2t5,,(0:0.2:0)
19.40454545,g,0t3,,
19.40454545,d_gro_left,0t3,,(0:0.2:0)
20.08636364,g,3t8,,
20.08636364,d_gro_left,3t8,,(0:0.2:0)
20.54090909,g,9t12,,
20.54090909,d_up,10t11,,(0:0.2:0)
20.99545455,g,2t5,,
20.99545455,d_up,3t5,,(0:0.2:0)
21.45,g,8t11,,
21.45,d_up,8t11,,(0:0.2:0)
21.90454545,g,1t4,,
21.90454545,d_up,3t4,,(0:0.2:0)
22.35909091,g,8t11,,
22.58636364,g,4t7,,
22.81363636,g,7t11,,
23.04090909,g,4t9,,
23.26818182,g,4t11,,
23.26818182,d_up,4t7,,(0:0.2:0)
23.26818182,d_up,8t11,,(0:0.2:0)
23.72272727,g,8t10,,
23.72272727,g,11t13,,
24.17727273,g,2t4,,
24.17727273,g,5t7,,
24.63181818,g,8t10,,
24.63181818,g,11t13,,
25.08636364,g,2t4,,
25.08636364,g,5t7,,
25.54090909,g,8t10,,
25.54090909,g,11t13,,
25.99545455,h_3,3t6,TRUE,
26.10909091,h_3,3t6,TRUE,
26.22272727,h_3,3t6,TRUE,
26.33636364,h_3,3t6,TRUE,
26.45,h_3,3t6,TRUE,
26.45,d_up,3t6,,(0:0.2:0)
26.90454545,g,8t10,,
26.90454545,g,11t13,,
27.35909091,g,2t4,,
27.35909091,g,5t7,,
27.81363636,g,8t10,,
27.81363636,g,11t13,,
28.26818182,g,2t4,,
28.26818182,g,5t7,,
28.72272727,g,8t10,,
28.72272727,g,11t13,,
29.17727273,g,2t4,,
29.17727273,g,5t7,,
29.63181818,h_4,9t12,TRUE,
29.74545455,h_4,9t12,TRUE,
29.85909091,h_4,9t12,TRUE,
29.97272727,h_4,9t12,TRUE,
30.08636364,h_4,9t12,TRUE,
30.08636364,d_up,9t12,,(0:0.2:0)
30.54090909,g,3t5,,
30.54090909,g,6t7,,
30.99545455,g,8t10,,
30.99545455,g,12t13,,
31.45,g,2t3,,
31.45,g,5t7,,
31.90454545,g,8t9,,
31.90454545,g,10t11,,
32.35909091,h_5,3t6,TRUE,
32.47272727,h_5,4.5t7.5,TRUE,
32.58636364,h_5,6t9,TRUE,
32.7,h_5,7.5t10.5,TRUE,
32.81363636,h_5,9t12,TRUE,
32.81363636,h_6,3t6,TRUE,
32.92727273,h_6,4.5t7.5,TRUE,
33.04090909,h_6,6t9,TRUE,
33.15454545,h_6,7.5t10.5,TRUE,
33.26818182,h_6,9t12,TRUE,
33.26818182,h_7,3t6,TRUE,
33.38181818,h_7,4.5t7.5,TRUE,
33.49545455,h_7,6t9,TRUE,
33.60909091,h_7,7.5t10.5,TRUE,
33.72272727,h_7,9t12,TRUE,
33.72272727,h_8,3t6,TRUE,
33.83636364,h_8,4.5t7.5,TRUE,
33.95,h_8,6t9,TRUE,
34.06363636,h_8,7.5t10.5,TRUE,
34.17727273,h_8,9t12,TRUE,
34.17727273,h_9,2t5,TRUE,
34.29090909,h_9,4t7,TRUE,
34.40454545,h_9,6t9,TRUE,
34.51818182,h_9,8t11,TRUE,
34.63181818,h_9,10t13,TRUE,
34.63181818,g,2t5,,
34.63181818,d_up,2t5,,(0:0.2:0)
34.74545455,h_9,8t11,TRUE,
34.85909091,h_9,6t9,TRUE,
34.97272727,h_9,4t7,TRUE,
35.08636364,h_9,2t5,TRUE,
35.08636364,g,10t13,,
35.08636364,d_up,10t13,,(0:0.2:0)
35.2,h_9,4t7,TRUE,
35.31363636,h_9,6t9,TRUE,
35.42727273,h_9,8t11,TRUE,
35.54090909,h_9,10t13,TRUE,
35.54090909,g,2t5,,
35.54090909,d_up,2t5,,(0:0.2:0)
35.65454545,h_9,8t11,TRUE,
35.76818182,h_9,6t9,TRUE,
