[TIME],[KIND],[LANE],[JUDGE],[VECTOR]
2.5,h_0,0t15,TRUE,
2.55,h_0,0.7t14.3,TRUE,
2.6,h_0,5.6t11.111,TRUE,
2.65,h_0,6.4t9.98129,TRUE,
2.7,h_0,7t8,TRUE,
3,g,15t15,,
3.02,g,14t14,,
3.04,g,13t13,,
3.06,g,12t12,,
3.08,g,11t11,,
3.1,g,10t10,,
3.12,g,9t9,,
3.14,g,8t8,,
3.16,g,7t7,,
3.18,g,6t6,,
3.2,g,5t5,,
3.22,g,4t4,,
3.24,g,3t3,,
3.26,g,2t2,,
3.28,g,1t1,,
3.3,g,0t0,,
3.32,g,15t15,,
3.34,g,14t14,,
3.36,g,13t13,,
3.38,g,12t12,,
3.4,g,11t11,,
3.42,g,10t10,,
3.44,g,9t9,,
3.46,g,8t8,,
3.48,g,7t7,,
3.5,g,6t6,,
3.52,g,5t5,,
3.54,g,4t4,,
3.56,g,3t3,,
3.58,g,2t2,,
3.6,g,1t1,,
3.62,g,0t0,,
3.64,g,15t15,,
3.66,g,14t14,,
3.68,g,13t13,,
3.7,g,12t12,,
3.72,g,11t11,,
3.74,g,10t10,,
3.76,g,9t9,,
3.78,g,8t8,,
3.8,g,7t7,,
3.82,g,6t6,,
3.84,g,5t5,,
3.86,g,4t4,,
3.88,g,3t3,,
3.9,g,2t2,,
3.92,g,1t1,,
3.94,g,0t0,,
3.96,g,15t15,,
3.98,g,14t14,,
4,g,13t13,,
4.02,g,12t12,,
4.04,g,11t11,,
4.06,g,10t10,,
4.08,g,9t9,,
4.1,g,8t8,,
4.12,g,7t7,,
4.14,g,6t6,,
4.16,g,5t5,,
4.18,g,4t4,,
4.2,g,3t3,,
4.22,g,2t2,,
4.24,g,1t1,,
4.26,g,0t0,,
